height_cm,shoe_size,gender,degree,cats_or_dogs,hair_color,eye_color,rock_paper_scissors,modelling_uncertainty_or_data,rent_eur,room_size_m2
170.0,43.0,Male,Civil Engineering ,Both?,Black,Brown,Paper,Modelling,670.0,15.0
170.0,43.0,Male,Civil Engineering ,Both?,Black,Brown,Rock,*Incoherent Screaming*,600.0,
191.0,46.0,Male,Civil Engineering ,Dogs,Brown,Blue,Paper,*Incoherent Screaming*,900.0,15.0
180.0,44.0,Male,Civil Engineering ,Cats,Blond,Grey,Paper,Uncertainty,575.0,9.0
160.0,37.0,Female,Civil Engineering ,Neither! >:(,Brown,Green,Scissors,Data,450.0,10.0
165.0,39.0,Female,"Earth, Climate, and Technology",Cats,Black,Brown,Paper,Data,,8.0
188.0,45.0,Male,Civil Engineering ,Dogs,Black,Brown,Scissors,Data,600.0,1.0
165.0,39.0,Female,Civil Engineering ,Dogs,Brown,Green,Rock,Data,480.0,
180.0,42.0,Male,Civil Engineering ,Dogs,Brown,Blue,Paper,Modelling,1.0,
173.0,43.0,Male,"Earth, Climate, and Technology",Dogs,Blond,Blue,Scissors,Modelling,680.0,
160.0,36.0,Female,"Earth, Climate, and Technology",Both?,Brown,Brown,Rock,Modelling,500.0,25.0
189.0,44.0,Male,Civil Engineering ,Both?,Blond,Blue,Scissors,*Incoherent Screaming*,550.0,10.0
192.0,43.5,Male,Civil Engineering ,Dogs,Blond,Green,Rock,Modelling,380.0,12.0
180.0,42.0,Male,"Earth, Climate, and Technology",Both?,Brown,Grey,Scissors,Data,420.0,38.0
192.0,47.0,Male,"Earth, Climate, and Technology",Cats,Brown,Green,Rock,Data,,
160.0,37.0,Other,Civil Engineering ,Dogs,Brown,Green,Paper,*Incoherent Screaming*,551.0,
185.0,44.0,Female,Civil Engineering ,Dogs,Blond,Blue,Paper,Modelling,490.0,18.0
173.0,42.0,Female,Environmental Engineering,Cats,Brown,Brown,Rock,*Incoherent Screaming*,680.0,10.0
197.0,45.0,Male,Civil Engineering ,Dogs,Brown,Brown,Rock,Uncertainty,0.1,20.0
184.0,45.0,Male,Civil Engineering ,Cats,Brown,Grey,Rock,Uncertainty,,15.0
167.0,43.0,Male,"Earth, Climate, and Technology",Dogs,Brown,Brown,Rock,Data,684.0,18.0
185.0,44.0,Male,"Earth, Climate, and Technology",Cats,Blond,Green,Paper,*Incoherent Screaming*,550.0,25.0
180.0,45.0,Male,Civil Engineering ,Cats,Black,Brown,Scissors,Uncertainty,,26.0
182.0,44.0,Male,Environmental Engineering,Both?,Brown,Brown,Scissors,Uncertainty,1100.0,60.0
180.0,42.0,Male,Civil Engineering ,Cats,Brown,Brown,Rock,*Incoherent Screaming*,,
180.0,41.0,Female,Civil Engineering ,Both?,Brown,Blue,Paper,Uncertainty,752.0,27.0
175.0,41.0,Female,Civil Engineering ,Dogs,Blond,Blue,Rock,*Incoherent Screaming*,,
175.0,43.5,Male,Environmental Engineering,Dogs,Brown,Hazel,Rock,Uncertainty,850.0,80.0
190.0,43.0,Male,Civil Engineering ,Neither! >:(,Blond,Blue,Paper,Modelling,400.0,15.0
180.0,43.0,Male,Civil Engineering ,Cats,Brown,Brown,Paper,Data,,
193.0,46.0,Male,Industrial Engineer/Industrial Chemistry,Dogs,Black,Green,Rock,Modelling,550.0,8.0
168.0,39.0,Female,Civil Engineering ,Dogs,Brown,Hazel,Rock,Data,1000.0,30.0
178.0,42.0,Male,Civil Engineering ,Dogs,Brown,Brown,Scissors,*Incoherent Screaming*,290.0,15.0
165.0,41.0,Male,Environmental Engineering,Dogs,Black,Brown,Rock,Modelling,950.0,
172.0,40.5,Male,Environmental Engineering,Both?,Black,Brown,Paper,*Incoherent Screaming*,,
185.0,45.0,Male,Environmental Engineering,Both?,Hazel,Brown,Paper,*Incoherent Screaming*,825.0,20.0
172.0,41.0,Male,"Earth, Climate, and Technology",Dogs,Black,Brown,Rock,Data,865.0,17.0
169.0,39.0,Female,"Earth, Climate, and Technology",Cats,Brown,Brown,Rock,*Incoherent Screaming*,660.0,21.0
182.0,38.0,Male,Civil Engineering ,Dogs,Black,Blue,Scissors,Modelling,866.0,29.0
183.0,42.0,Male,"Earth, Climate, and Technology",Cats,Blond,Blue,Rock,*Incoherent Screaming*,325.0,12.0
178.0,43.0,Male,Environmental Engineering,Dogs,Brown,Green,Rock,Data,600.0,20.0
175.0,40.0,Male,Civil Engineering ,Both?,Black,Brown,Rock,Modelling,592.0,25.0
